scenario,task,model,ID,MAIN_BAS,fold,n_train,observed,predicted,group,absolute_error
cars,US,persistence,372,7060014930,3,132,0.3049364488518964,0.3273465216358815,Common cohort,0.022410072783985102
cars,US,persistence,378,7060014930,3,132,0.6498951178353334,0.7762356282647203,CARS-only,0.12634051042938688
cars,US,persistence,384,7060014930,3,132,0.3093526199502241,0.2881686443886527,Common cohort,0.021183975561571422
cars,US,persistence,386,7060014930,3,132,0.5767595458015281,0.5397176969141498,Common cohort,0.03704184888737827
cars,US,persistence,390,7060014930,3,132,0.3071239489001133,0.368840963562169,CARS-only,0.0617170146620557
cars,US,persistence,391,7060014930,3,132,0.1156538679467976,0.1418314882374069,Common cohort,0.0261776202906093
cars,US,persistence,41,7060016090,3,132,0.3063485000731634,0.2799836461082167,Common cohort,0.0263648539649467
cars,US,persistence,413,7060014930,3,132,0.0149574288546225,0.0259910794039343,Common cohort,0.0110336505493118
cars,US,persistence,42,7060016090,3,132,0.3638214534858144,0.3379496880808614,Common cohort,0.025871765404953007
cars,US,persistence,55,7060014930,3,132,0.2791408868597332,0.2907503018645895,Common cohort,0.011609415004856294
cars,US,persistence,57,7060014930,3,132,0.3399568096450151,0.3920447207419912,Common cohort,0.05208791109697608
cars,US,persistence,60,7060014930,3,132,0.2026048875319817,0.2651339195738726,Common cohort,0.06252903204189092
cars,US,persistence,63,7060014930,3,132,0.2699904997815742,0.3599866442466242,Common cohort,0.08999614446505
cars,US,persistence,114,7060014340,4,140,0.2853517724953331,0.4277469923249714,Common cohort,0.14239521982963826
cars,US,persistence,1151,7060047970,4,140,0.537804254533716,0.3612760024727691,Common cohort,0.17652825206094697
cars,US,persistence,1237,7060047970,4,140,0.6223175503941138,0.5113976516533948,Common cohort,0.11091989874071906
cars,US,persistence,169,7060013560,4,140,0.5336578409890408,0.6344242896002354,Common cohort,0.10076644861119466
cars,US,persistence,1782,7060042740,4,140,0.373758422393994,0.3054690069477672,CARS-only,0.0682894154462268
cars,US,persistence,1796,7060042940,4,140,0.2959980432599221,0.1556509886739072,CARS-only,0.14034705458601487
cars,US,persistence,180,7060013560,4,140,0.5874000740573897,0.4832904433748937,CARS-only,0.10410963068249601
cars,US,persistence,1851,7060043500,4,140,0.1239269287967713,0.1502936179035389,Common cohort,0.026366689106767607
cars,US,persistence,1872,7060043500,4,140,0.183695722710361,0.2263076301159665,CARS-only,0.0426119074056055
cars,US,persistence,1883,7060043640,4,140,0.2508237460999755,0.2175020179583472,Common cohort,0.03332172814162829
cars,US,persistence,223,7060013180,4,140,0.2850384019360484,0.2581780795602523,CARS-only,0.02686032237579611
cars,US,persistence,292,7060022240,4,140,0.4472345683630451,0.4192605790690127,Common cohort,0.027973989294032386
cars,US,persistence,431,7060073620,4,140,0.1575546995565397,0.1502796653715764,CARS-only,0.007275034184963308
cars,US,persistence,438,7060073620,4,140,0.3205574500397978,0.2830200315693761,CARS-only,0.03753741847042169
cars,US,persistence,442,7060073620,4,140,0.2880753880040633,0.2964911515481112,Common cohort,0.008415763544047883
cars,US,persistence,449,7060073620,4,140,0.426066484362956,0.5108964331804531,Common cohort,0.08482994881749706
cars,US,persistence,450,7060073620,4,140,0.3659586584769955,0.3468154854913096,CARS-only,0.019143172985685908
cars,US,persistence,456,7060073620,4,140,0.2640694177067812,0.2208278974905376,Common cohort,0.04324152021624361
cars,US,persistence,467,7060073620,4,140,0.5066104513145995,0.4468360595360856,Common cohort,0.0597743917785139
cars,US,persistence,477,7060073620,4,140,0.2618498475460717,0.3127136822483656,Common cohort,0.050863834702293886
cars,US,persistence,7308,7060043500,4,140,0.1498584901974067,0.1206408950731354,Common cohort,0.029217595124271314
